,date,n_sick,calls,n_duty,n_sby,sby_need,dafted
0,2016-04-01,73,8154.0,1700,90,4.0,0.0
1,2016-04-02,64,8526.0,1700,90,70.0,0.0
2,2016-04-03,68,8088.0,1700,90,0.0,0.0
3,2016-04-04,71,7044.0,1700,90,0.0,0.0
4,2016-04-05,63,7236.0,1700,90,0.0,0.0
5,2016-04-06,70,6492.0,1700,90,0.0,0.0
6,2016-04-07,64,6204.0,1700,90,0.0,0.0
7,2016-04-08,62,7614.0,1700,90,0.0,0.0
8,2016-04-09,51,5706.0,1700,90,0.0,0.0
9,2016-04-10,54,6606.0,1700,90,0.0,0.0
10,2016-04-11,50,6822.0,1700,90,0.0,0.0
11,2016-04-12,49,6060.0,1700,90,0.0,0.0
12,2016-04-13,53,5964.0,1700,90,0.0,0.0
13,2016-04-14,52,5928.0,1700,90,0.0,0.0
14,2016-04-15,63,7608.0,1700,90,0.0,0.0
15,2016-04-16,55,6768.0,1700,90,0.0,0.0
16,2016-04-17,51,7242.0,1700,90,0.0,0.0
17,2016-04-18,59,6768.0,1700,90,0.0,0.0
18,2016-04-19,57,8676.0,1700,90,93.0,3.0
19,2016-04-20,53,6270.0,1700,90,0.0,0.0
20,2016-04-21,63,7818.0,1700,90,0.0,0.0
21,2016-04-22,68,5712.0,1700,90,0.0,0.0
22,2016-04-23,62,5166.0,1700,90,0.0,0.0
23,2016-04-24,71,4884.0,1700,90,0.0,0.0
24,2016-04-25,72,5880.0,1700,90,0.0,0.0
25,2016-04-26,65,6576.0,1700,90,0.0,0.0
26,2016-04-27,62,7620.0,1700,90,0.0,0.0
27,2016-04-28,66,6870.0,1700,90,0.0,0.0
28,2016-04-29,64,7554.0,1700,90,0.0,0.0
29,2016-04-30,65,5424.0,1700,90,0.0,0.0
30,2016-05-01,54,8400.0,1700,90,34.0,0.0
31,2016-05-02,63,7782.0,1700,90,0.0,0.0
32,2016-05-03,61,7716.0,1700,90,0.0,0.0
33,2016-05-04,58,8340.0,1700,90,26.0,0.0
34,2016-05-05,57,8064.0,1700,90,0.0,0.0
35,2016-05-06,59,7404.0,1700,90,0.0,0.0
